step,avg_action,corr_queue_action,A0,A4
5000,0.422182967645965,-0.4400707821845124,80.25288211230941,5.717738936407586
10000,0.5665210115284492,-0.2983375458276623,71.29044254369654,7.981591669765713
15000,0.7629230197099294,-0.3225589643632166,55.243584975827446,7.261063592413537
20000,0.6964020081814801,-0.3173577576069561,61.42153216809223,5.638713276310896
25000,0.6845946448493864,-0.324682829999284,66.15842320565267,6.661398289326888
30000,0.6760877649683897,-0.323457169760374,67.59018222387505,5.987355894384529
35000,0.6315544812197843,-0.30886361591918793,72.82447006322053,5.638713276310896
40000,0.6447099293417627,-0.3191216888689824,72.39215321680922,5.64801041279286
45000,0.5880438824841948,-0.2774555036886708,76.7339159538862,5.773521755299368
50000,0.5858125697285236,-0.28597860943935455,77.44049832651542,6.005950167348457
55000,0.5483451097062105,-0.26116272485970105,78.93733730011157,5.731684641130532
60000,0.52807735217553,-0.3572351837979045,78.30048345109705,0.8506879880996653
65000,0.49377091855708444,-0.34218426377934225,80.35979918185198,0.3532911863146151
70000,0.4766641874302715,-0.3221722800416326,81.4801041279286,0.7623651915210116
75000,0.5156191892896987,-0.2594027927296119,81.97750092971366,5.592227593901079
80000,0.4773149869840089,-0.27807779796229454,82.87467460022313,2.287095574563035
85000,0.47164373373001117,-0.19868736937858977,84.23670509483078,6.266269988843436
90000,0.45360728895500185,-0.3021107154896965,83.4696913350688,0.2882112309408702
95000,0.4661119375232428,-0.19127139598305967,83.96243956861287,6.312755671253253
100000,0.528309780587579,-0.25704306367097496,83.01413164745259,7.16344365935292
105000,0.49907028635180367,-0.2246540643773849,83.93454815916698,6.77296392711045
110000,0.46857567869096317,-0.18380449537323737,85.203607288955,7.010040907400521
115000,0.4708999628114541,-0.18647318830989185,84.97582744514689,7.056526589810338
120000,0.46857567869096317,-0.1777126846938261,84.30178505020453,7.056526589810338
125000,0.46137039791744144,-0.1676870201444496,84.86426180736333,7.14020081814801
130000,0.4607660840461138,-0.16676581562043064,85.05950167348458,7.070472294533284
135000,0.46513573819263665,-0.17083439481918428,84.86426180736333,7.010040907400521
140000,0.47308478988471553,-0.1760771685714109,84.75269616957976,7.293603570100409
145000,0.46090554109334325,-0.16903826174170558,85.1524730383042,7.24246931944961
150000,0.45397917441428043,-0.15559582515774556,85.09669021941242,7.265712160654518
155000,0.4665303086649312,-0.17146801755295457,84.84101896615842,7.335440684269246
160000,0.45978988471550764,-0.15542885886986607,85.0548531052436,7.237820751208628
165000,0.4414280401636296,-0.13635537140211684,86.01245816288584,7.437709185570844
170000,0.45123651915210117,-0.15089702986268916,85.27798438081071,7.330792116028263
175000,0.4406377835626627,-0.13972935096372333,85.83116400148754,7.103012272220156
180000,0.4432874674600223,-0.14195455514519922,85.81256972852361,7.275009297136482
185000,0.4390572703607289,-0.13601315675661727,85.96597248047601,7.354034957233173
190000,0.4200446262551134,-0.11794780614141394,86.8120119003347,7.330792116028263
195000,0.4194403123837858,-0.12011139243702829,86.93752324284121,7.270360728895501
200000,0.41437337300111565,-0.11304136401603694,87.34194867980662,7.330792116028263
205000,0.40163629602082557,-0.10177221097741303,87.97415396058014,7.186686500557828
210000,0.3893175901822239,-0.08473519739280026,88.45295648940127,7.386574934920044
215000,0.364540721457791,-0.0529801875204979,89.5918557084418,7.391223503161026
