model,deadline_miss_rate,cost_per_episode,rank
model_70000.d3,0.1,305403.96875,1
model_100000.d3,0.4,304886.96875,2
model_90000.d3,0.4,305577.15625,3
model_80000.d3,0.4,306252.3125,4
model_50000.d3,0.7,301705.8125,5
model_60000.d3,0.8,294101.4375,6
model_30000.d3,0.9,217644.21875,7
model_20000.d3,0.9,229710.453125,8
model_280000.d3,0.9,286047.5625,9
model_260000.d3,0.9,299132.3125,10
model_230000.d3,0.9,300199.59375,11
model_190000.d3,0.9,300392.03125,12
model_250000.d3,0.9,300412.125,13
model_120000.d3,0.9,300922.15625,14
model_210000.d3,0.9,301042.15625,15
model_180000.d3,0.9,301969.28125,16
model_500000.d3,1.0,4730.27880859375,17
model_430000.d3,1.0,7392.37255859375,18
model_330000.d3,1.0,14810.0595703125,19
model_440000.d3,1.0,30250.45703125,20
model_340000.d3,1.0,30275.916015625,21
model_470000.d3,1.0,33334.22265625,22
model_450000.d3,1.0,40100.50390625,23
model_490000.d3,1.0,42652.71484375,24
model_400000.d3,1.0,43386.0859375,25
model_380000.d3,1.0,47698.23828125,26
model_460000.d3,1.0,48171.8671875,27
model_480000.d3,1.0,48309.48828125,28
model_420000.d3,1.0,73609.1328125,29
model_410000.d3,1.0,82406.953125,30
model_10000.d3,1.0,92647.328125,31
model_370000.d3,1.0,114071.859375,32
model_320000.d3,1.0,118346.140625,33
model_360000.d3,1.0,120499.8984375,34
model_40000.d3,1.0,126335.578125,35
model_390000.d3,1.0,152820.265625,36
model_350000.d3,1.0,171191.46875,37
model_300000.d3,1.0,255432.078125,38
model_290000.d3,1.0,274484.1875,39
model_310000.d3,1.0,280812.15625,40
model_270000.d3,1.0,298016.65625,41
model_220000.d3,1.0,300068.375,42
model_240000.d3,1.0,300971.34375,43
model_130000.d3,1.0,302037.59375,44
model_140000.d3,1.0,302044.125,45
model_170000.d3,1.0,302352.3125,46
model_200000.d3,1.0,302962.625,47
model_160000.d3,1.0,303213.71875,48
model_150000.d3,1.0,303857.03125,49
model_110000.d3,1.0,304432.03125,50
