model,deadline_miss_rate,cost_per_episode,rank
model_20000.d3,0.4,25168.0475897762,1
model_25000.d3,0.4,25573.216022169683,2
model_10000.d3,0.4,25696.074257380234,3
model_5000.d3,0.4,25696.07673451947,4
model_15000.d3,0.4,25705.164085661712,5
model_55000.d3,0.4,25741.965984081944,6
model_60000.d3,0.4,25799.99554216778,7
model_35000.d3,0.4,25848.11160529824,8
model_30000.d3,0.4,25972.386449634378,9
model_50000.d3,0.4,26059.86282497542,10
model_45000.d3,0.4,26120.656062751914,11
model_40000.d3,0.4,26272.873675693663,12
