model,deadline_miss_rate,cost_per_episode,rank
model_5000.d3,0.62,0.0,1
model_10000.d3,0.62,0.0,2
model_20000.d3,0.62,0.0,3
model_25000.d3,0.62,34085362.48459771,4
model_90000.d3,0.62,35030044.159928486,5
model_55000.d3,0.62,35231875.74267635,6
model_80000.d3,0.62,35869757.053293616,7
model_50000.d3,0.62,36453352.131590396,8
model_60000.d3,0.62,36964004.20397293,9
model_85000.d3,0.62,37289709.397913285,10
model_70000.d3,0.62,37322355.91854527,11
model_75000.d3,0.62,37525795.544315465,12
model_65000.d3,0.62,37736087.77867193,13
model_100000.d3,0.62,38329794.28252985,14
model_40000.d3,0.62,39364181.62468511,15
model_15000.d3,0.62,39390076.64686447,16
model_95000.d3,0.62,39839595.96904919,17
model_30000.d3,0.62,40294901.66968614,18
model_45000.d3,0.62,40459098.61353371,19
model_35000.d3,0.62,40688697.23575055,20
