model,deadline_miss_rate,cost_per_episode,rank
model_20000.d3,0.3,298560.09375,1
model_25000.d3,0.4,299445.5,2
model_10000.d3,0.4,299601.71875,3
model_15000.d3,0.4,299627.15625,4
model_75000.d3,0.6,295279.6875,5
model_65000.d3,0.6,299241.34375,6
model_140000.d3,0.6,300023.4375,7
model_30000.d3,0.6,300265.21875,8
model_35000.d3,0.7,300355.15625,9
model_45000.d3,0.7,301957.5,10
model_5000.d3,0.7,301959.6875,11
model_40000.d3,0.7,301963.3125,12
model_50000.d3,0.7,302724.625,13
model_95000.d3,0.8,277797.8125,14
model_90000.d3,0.8,282763.28125,15
model_185000.d3,0.8,293340.59375,16
model_165000.d3,0.8,294068.09375,17
model_115000.d3,0.8,295090.25,18
model_155000.d3,0.8,296994.65625,19
model_135000.d3,0.8,299689.1875,20
model_190000.d3,0.9,241020.65625,21
model_80000.d3,0.9,260522.75,22
model_205000.d3,0.9,263877.875,23
model_85000.d3,0.9,265350.5,24
model_160000.d3,0.9,280637.625,25
model_70000.d3,0.9,284591.5625,26
model_125000.d3,0.9,284909.34375,27
model_110000.d3,0.9,287489.28125,28
model_55000.d3,0.9,293151.0,29
model_60000.d3,0.9,295909.4375,30
model_275000.d3,1.0,30293.44921875,31
model_360000.d3,1.0,46658.4609375,32
model_500000.d3,1.0,49588.43359375,33
model_495000.d3,1.0,51129.65234375,34
model_455000.d3,1.0,51403.73046875,35
model_480000.d3,1.0,53482.7578125,36
model_460000.d3,1.0,54687.39453125,37
model_260000.d3,1.0,54735.5859375,38
model_490000.d3,1.0,55072.4140625,39
model_230000.d3,1.0,57670.4453125,40
model_430000.d3,1.0,57672.7578125,41
model_345000.d3,1.0,58742.2109375,42
model_485000.d3,1.0,58749.9296875,43
model_475000.d3,1.0,59167.7109375,44
model_375000.d3,1.0,63196.98046875,45
model_465000.d3,1.0,63252.35546875,46
model_440000.d3,1.0,63404.73828125,47
model_435000.d3,1.0,66288.9609375,48
model_405000.d3,1.0,66445.6328125,49
model_340000.d3,1.0,67666.1796875,50
model_280000.d3,1.0,67961.6015625,51
model_300000.d3,1.0,68840.765625,52
model_390000.d3,1.0,71621.1875,53
model_335000.d3,1.0,71808.1171875,54
model_470000.d3,1.0,72816.390625,55
model_350000.d3,1.0,72819.8359375,56
model_370000.d3,1.0,74953.015625,57
model_365000.d3,1.0,76190.8125,58
model_330000.d3,1.0,78626.8359375,59
model_245000.d3,1.0,78885.9375,60
model_410000.d3,1.0,79079.765625,61
model_395000.d3,1.0,82881.046875,62
model_450000.d3,1.0,82965.2421875,63
model_355000.d3,1.0,83179.046875,64
model_420000.d3,1.0,83335.6015625,65
model_385000.d3,1.0,84015.625,66
model_255000.d3,1.0,85825.5390625,67
model_445000.d3,1.0,89418.546875,68
model_425000.d3,1.0,89910.9453125,69
model_320000.d3,1.0,91095.5234375,70
model_250000.d3,1.0,95150.1328125,71
model_400000.d3,1.0,97350.171875,72
model_270000.d3,1.0,98255.4296875,73
model_290000.d3,1.0,102020.71875,74
model_415000.d3,1.0,102710.859375,75
model_235000.d3,1.0,103435.0078125,76
model_265000.d3,1.0,105802.4140625,77
model_285000.d3,1.0,107507.984375,78
model_380000.d3,1.0,112082.75,79
model_200000.d3,1.0,113270.0,80
model_325000.d3,1.0,116938.2109375,81
model_310000.d3,1.0,120312.1015625,82
model_215000.d3,1.0,124391.140625,83
model_240000.d3,1.0,129948.3125,84
model_180000.d3,1.0,151641.34375,85
model_305000.d3,1.0,153669.1875,86
model_195000.d3,1.0,165489.046875,87
model_105000.d3,1.0,175282.046875,88
model_315000.d3,1.0,186231.265625,89
model_210000.d3,1.0,196339.890625,90
model_295000.d3,1.0,196697.40625,91
model_100000.d3,1.0,197057.71875,92
model_150000.d3,1.0,205083.03125,93
model_225000.d3,1.0,214181.796875,94
model_175000.d3,1.0,224810.84375,95
model_220000.d3,1.0,264746.1875,96
model_120000.d3,1.0,280995.875,97
model_145000.d3,1.0,283984.09375,98
model_170000.d3,1.0,284823.1875,99
model_130000.d3,1.0,293666.21875,100
