model,deadline_miss_rate,cost_per_episode,rank
model_15000.d3,0.62,33.78413664,1
model_10000.d3,0.62,31294904.73270452,2
model_20000.d3,0.62,35545153.18930188,3
model_30000.d3,0.62,40154513.486111104,4
model_5000.d3,0.62,40675047.85679028,5
model_25000.d3,0.62,40685629.45728335,6
