model,deadline_miss_rate,cost_per_episode,rank
model_80000.d3,0.65,184025.04668064733,1
model_95000.d3,0.65,184132.27013003285,2
model_10000.d3,0.65,184301.16289334203,3
model_40000.d3,0.65,184321.46434600308,4
model_55000.d3,0.7,184213.67205626442,5
model_30000.d3,0.7,184253.03827535314,6
model_45000.d3,0.7,184307.58364993203,7
model_20000.d3,0.75,183588.62344591747,8
model_5000.d3,0.75,183787.71535958472,9
model_25000.d3,0.8,183771.87218712838,10
model_85000.d3,0.8,183841.75984908044,11
model_75000.d3,0.8,183995.89153851586,12
model_70000.d3,0.8,184019.76429716387,13
model_100000.d3,0.8,184052.85860233306,14
model_60000.d3,0.8,184093.41007863358,15
model_90000.d3,0.8,184129.37595691942,16
model_15000.d3,0.8,184144.63138255646,17
model_50000.d3,0.85,183964.750809109,18
model_65000.d3,0.9,182752.99535147194,19
model_35000.d3,0.9,182860.97226485927,20
