model,deadline_miss_rate,cost_per_episode,rank
model_380000.d3,0.4,149194.11576540992,1
model_390000.d3,0.4,167044.72304787487,2
model_300000.d3,0.4,177535.79603962452,3
model_310000.d3,0.4,186342.56914523692,4
model_280000.d3,0.4,196206.04975791276,5
model_260000.d3,0.4,198079.84566820675,6
model_320000.d3,0.4,205177.18304832056,7
model_200000.d3,0.4,212489.77235946766,8
model_230000.d3,0.4,222731.5228196688,9
model_150000.d3,0.4,257096.16191385052,10
model_290000.d3,0.6,157909.5341852367,11
model_350000.d3,0.6,161220.27771506607,12
model_360000.d3,0.6,188654.8357327357,13
model_370000.d3,0.6,189547.47745232136,14
model_240000.d3,0.6,191579.17499331682,15
model_170000.d3,0.6,199337.31513396278,16
model_130000.d3,0.6,208698.8277067002,17
model_400000.d3,0.8,150958.2594422236,18
model_270000.d3,0.8,166826.87933288515,19
model_340000.d3,0.8,177785.8460779853,20
model_210000.d3,0.8,190063.44879258014,21
model_250000.d3,0.8,190733.18826038166,22
model_180000.d3,0.8,196027.35713631212,23
model_190000.d3,0.8,207568.32883765624,24
model_50000.d3,0.8,269445.79860654694,25
model_220000.d3,1.0,130161.36035988927,26
model_330000.d3,1.0,168296.60673940368,27
model_110000.d3,1.0,173309.5212113321,28
model_160000.d3,1.0,182274.67367721646,29
model_60000.d3,1.0,184076.56880900412,30
model_90000.d3,1.0,188147.54654943495,31
model_140000.d3,1.0,190875.38296378293,32
model_80000.d3,1.0,229305.6219994478,33
model_100000.d3,1.0,254057.3596090153,34
model_120000.d3,1.0,256237.22262592427,35
model_70000.d3,1.0,306406.051874705,36
model_40000.d3,1.0,329910.69170052523,37
model_30000.d3,1.0,376071.7711535759,38
model_20000.d3,1.0,436160.4028357066,39
model_10000.d3,1.0,467876.8424289316,40
