model,deadline_miss_rate,cost_per_episode,rank
model_95000.d3,0.0,7.892037868499756,1
model_90000.d3,0.0,7.943957805633545,2
model_85000.d3,0.0,9.353057861328125,3
model_35000.d3,0.0,10.222315788269043,4
model_40000.d3,0.0,10.481274604797363,5
model_75000.d3,0.0,11.118189811706543,6
model_20000.d3,0.0,11.261173248291016,7
model_80000.d3,0.0,11.556615829467773,8
model_25000.d3,0.0,11.644956588745117,9
model_45000.d3,0.0,12.524332046508789,10
model_30000.d3,0.0,12.873882293701172,11
model_15000.d3,0.0,14.686357498168945,12
model_5000.d3,0.0,17.476816177368164,13
model_10000.d3,0.0,17.989465713500977,14
model_55000.d3,0.0,99015.328125,15
model_50000.d3,0.0,107373.4765625,16
model_100000.d3,0.0,273298.1875,17
model_70000.d3,0.0,273936.15625,18
model_60000.d3,0.0,283361.78125,19
model_65000.d3,0.0,284586.28125,20
model_205000.d3,0.0,310246.3125,21
model_105000.d3,0.0,311857.3125,22
model_110000.d3,0.0,312995.34375,23
model_195000.d3,0.0,313766.78125,24
model_155000.d3,0.0,313910.65625,25
model_185000.d3,0.0,313912.03125,26
model_160000.d3,0.0,314477.09375,27
model_150000.d3,0.0,314718.34375,28
model_115000.d3,0.0,314950.90625,29
model_230000.d3,0.0,315584.375,30
model_265000.d3,0.0,316109.78125,31
model_235000.d3,0.0,316144.59375,32
model_250000.d3,0.0,316145.875,33
model_225000.d3,0.0,316147.59375,34
model_245000.d3,0.0,316150.65625,35
model_255000.d3,0.0,316155.90625,36
model_240000.d3,0.0,316165.71875,37
model_190000.d3,0.0,316172.4375,38
model_260000.d3,0.0,316172.5625,39
model_140000.d3,0.0,316213.125,40
model_200000.d3,0.0,316286.125,41
model_180000.d3,0.0,316286.6875,42
model_220000.d3,0.0,316295.65625,43
model_210000.d3,0.0,316302.21875,44
model_175000.d3,0.0,316307.0,45
model_170000.d3,0.0,316344.84375,46
model_145000.d3,0.0,316523.09375,47
model_215000.d3,0.0,316679.875,48
model_165000.d3,0.0,316711.4375,49
model_135000.d3,0.0,316756.875,50
model_130000.d3,0.0,316766.90625,51
model_125000.d3,0.0,316791.8125,52
model_120000.d3,0.0,316945.28125,53
