model,deadline_miss_rate,cost_per_episode,rank
model_350000.d3,0.0,293138.46875,1
model_385000.d3,0.0,293967.59375,2
model_345000.d3,0.0,294177.15625,3
model_380000.d3,0.0,294243.40625,4
model_370000.d3,0.0,295241.625,5
model_400000.d3,0.1,293526.4375,6
model_355000.d3,0.1,293707.5625,7
model_60000.d3,0.3,273031.71875,8
model_305000.d3,0.3,288444.84375,9
model_310000.d3,0.3,291624.34375,10
model_335000.d3,0.3,291869.15625,11
model_340000.d3,0.3,293205.4375,12
model_360000.d3,0.3,293469.5,13
model_330000.d3,0.3,293624.1875,14
model_325000.d3,0.3,293929.0625,15
model_420000.d3,0.3,294482.15625,16
model_365000.d3,0.3,294545.1875,17
model_320000.d3,0.3,294986.1875,18
model_375000.d3,0.4,295061.125,19
model_390000.d3,0.4,295150.5625,20
model_395000.d3,0.4,295193.3125,21
model_90000.d3,0.5,277898.84375,22
model_315000.d3,0.5,291798.78125,23
model_415000.d3,0.5,293206.28125,24
model_410000.d3,0.5,294728.09375,25
model_405000.d3,0.5,295087.8125,26
model_430000.d3,0.5,295529.6875,27
model_500000.d3,0.5,296185.6875,28
model_20000.d3,0.6,250069.953125,29
model_25000.d3,0.6,251438.25,30
model_55000.d3,0.6,270173.6875,31
model_15000.d3,0.6,272397.40625,32
model_30000.d3,0.6,276698.21875,33
model_435000.d3,0.6,292075.6875,34
model_245000.d3,0.6,292262.0,35
model_480000.d3,0.6,293586.6875,36
model_295000.d3,0.6,293832.84375,37
model_445000.d3,0.6,294456.90625,38
model_235000.d3,0.6,294516.65625,39
model_450000.d3,0.6,294598.6875,40
model_425000.d3,0.6,295082.53125,41
model_460000.d3,0.6,295324.4375,42
model_475000.d3,0.6,295518.0,43
model_440000.d3,0.6,295558.625,44
model_465000.d3,0.6,295653.46875,45
model_470000.d3,0.6,295908.09375,46
model_485000.d3,0.6,295983.78125,47
model_115000.d3,0.7,254936.375,48
model_100000.d3,0.7,266259.5625,49
model_95000.d3,0.7,270417.34375,50
model_120000.d3,0.7,272398.78125,51
model_5000.d3,0.7,273711.03125,52
model_105000.d3,0.7,274252.78125,53
model_130000.d3,0.7,280117.1875,54
model_170000.d3,0.7,284437.6875,55
model_185000.d3,0.7,285076.0625,56
model_260000.d3,0.7,285735.90625,57
model_145000.d3,0.7,288219.9375,58
model_285000.d3,0.7,288784.5625,59
model_160000.d3,0.7,288940.59375,60
model_280000.d3,0.7,289285.09375,61
model_220000.d3,0.7,290406.125,62
model_300000.d3,0.7,290668.09375,63
model_270000.d3,0.7,290763.40625,64
model_200000.d3,0.7,292475.71875,65
model_290000.d3,0.7,292670.65625,66
model_275000.d3,0.7,292850.0625,67
model_240000.d3,0.7,292906.6875,68
model_265000.d3,0.7,293220.6875,69
model_150000.d3,0.7,293522.5625,70
model_205000.d3,0.7,293742.21875,71
model_210000.d3,0.7,293783.125,72
model_85000.d3,0.8,221955.453125,73
model_45000.d3,0.8,228907.90625,74
model_35000.d3,0.8,237088.84375,75
model_80000.d3,0.8,249975.25,76
model_10000.d3,0.8,251838.5,77
model_125000.d3,0.8,253322.25,78
model_40000.d3,0.8,259369.71875,79
model_135000.d3,0.8,266796.5,80
model_50000.d3,0.8,272568.46875,81
model_75000.d3,0.8,273905.6875,82
model_110000.d3,0.8,274520.78125,83
model_155000.d3,0.8,283465.53125,84
model_195000.d3,0.8,286415.1875,85
model_215000.d3,0.8,287567.125,86
model_190000.d3,0.8,293425.75,87
model_495000.d3,0.8,293887.1875,88
model_250000.d3,0.8,294804.25,89
model_230000.d3,0.8,294890.9375,90
model_255000.d3,0.8,295249.09375,91
model_455000.d3,0.8,295422.75,92
model_490000.d3,0.8,295682.78125,93
model_70000.d3,0.9,222251.546875,94
model_140000.d3,0.9,273653.9375,95
model_165000.d3,0.9,277505.6875,96
model_175000.d3,0.9,284626.78125,97
model_180000.d3,0.9,292524.78125,98
model_65000.d3,1.0,162917.59375,99
model_225000.d3,1.0,292838.59375,100
