model,deadline_miss_rate,cost_per_episode,rank
model_130000.d3,1.0,725231.3125,1
model_200000.d3,1.0,725369.625,2
model_190000.d3,1.0,725742.625,3
model_180000.d3,1.0,725941.6875,4
model_60000.d3,1.0,726076.5,5
model_70000.d3,1.0,726218.375,6
model_50000.d3,1.0,726240.125,7
model_150000.d3,1.0,726300.3125,8
model_40000.d3,1.0,726333.625,9
model_140000.d3,1.0,726348.0,10
model_120000.d3,1.0,726383.9375,11
model_160000.d3,1.0,726485.8125,12
model_170000.d3,1.0,726537.625,13
model_90000.d3,1.0,726585.125,14
model_80000.d3,1.0,726665.375,15
model_100000.d3,1.0,726748.3125,16
model_30000.d3,1.0,726789.6875,17
model_110000.d3,1.0,726793.3125,18
model_10000.d3,1.0,726886.125,19
model_20000.d3,1.0,727022.125,20
